モデル	レース数	単勝的中率	単勝回収率	複勝的中率	複勝回収率	三連複的中率	三連複回収率
東京芝中長距離3歳以上	65	100.00%	709.38%	100.51%	260.15%	3.08%	19.38%
東京芝短距離3歳以上	51	25.49%	225.49%	39.87%	91.31%	0.00%	0.00%
東京ダート中長距離3歳以上	24	16.67%	95.00%	36.11%	77.64%	4.17%	697.92%
東京ダート短距離3歳以上	110	51.82%	349.45%	56.97%	154.06%	0.00%	0.00%
東京芝中長距離3歳	40	7.50%	37.25%	29.17%	69.67%	0.00%	0.00%
東京芝短距離3歳	30	46.67%	499.00%	53.33%	227.78%	6.67%	327.00%
東京ダート中長距離3歳	14	100.00%	3002.86%	100.00%	375.71%	0.00%	0.00%
東京ダート短距離3歳	84	100.00%	643.69%	100.00%	330.16%	0.00%	0.00%
京都芝中長距離3歳以上	40	5.00%	45.25%	31.67%	83.50%	0.00%	0.00%
京都芝短距離3歳以上	36	11.11%	64.17%	37.04%	127.04%	0.00%	0.00%
京都ダート中長距離3歳以上	48	22.92%	123.54%	43.75%	91.32%	2.08%	20.00%
京都ダート短距離3歳以上	39	41.03%	258.21%	64.10%	152.14%	0.00%	0.00%
京都芝中長距離3歳	23	17.39%	139.13%	39.13%	118.12%	0.00%	0.00%
京都芝短距離3歳	18	38.89%	190.56%	55.56%	111.85%	11.11%	290.56%
京都ダート中長距離3歳	22	100.00%	1355.91%	100.00%	313.64%	0.00%	0.00%
京都ダート短距離3歳	17	100.00%	1259.41%	100.00%	371.18%	0.00%	0.00%
阪神芝中長距離3歳以上	61	18.03%	69.84%	38.80%	88.69%	1.64%	56.89%
阪神芝短距離3歳以上	57	14.04%	261.75%	49.71%	138.42%	0.00%	0.00%
阪神ダート中長距離3歳以上	73	19.18%	61.51%	40.64%	88.63%	2.74%	26.03%
阪神ダート短距離3歳以上	73	30.14%	170.00%	60.27%	146.80%	2.74%	44.38%
阪神芝中長距離3歳	33	48.48%	417.58%	87.88%	268.18%	3.03%	6.36%
阪神芝短距離3歳	24	100.00%	1452.92%	100.00%	397.36%	0.00%	0.00%
阪神ダート中長距離3歳	54	100.00%	912.78%	100.00%	293.02%	0.00%	0.00%
阪神ダート短距離3歳	51	100.00%	688.82%	100.00%	292.09%	0.00%	0.00%
